      0000000125  1626887   9.2  The Shawshank Redemption (1994)
      0000000125  1113913   9.2  The Godfather (1972)
      0000000124  759117   9.0  The Godfather: Part II (1974)
      0000000124  1603179   8.9  The Dark Knight (2008)
      0000000133  831174   8.9  Schindler's List (1993)
      0000000123  1274190   8.9  Pulp Fiction (1994)
      0000000124  1170263   8.9  The Lord of the Rings: The Return of the King (2003)
      0000000133  1292430   8.8  Fight Club (1999)
      0000000123  1193916   8.8  The Lord of the Rings: The Fellowship of the Ring (2001)
      0000000223  799800   8.7  Star Wars: Episode V - The Empire Strikes Back (1980)
      0000000133  1195053   8.7  Forrest Gump (1994)
      0000000123  1405590   8.7  Inception (2010)
      0000000123  1057644   8.7  The Lord of the Rings: The Two Towers (2002)
      0000000232  656165   8.7  One Flew Over the Cuckoo's Nest (1975)
      0000000232  701014   8.7  Goodfellas (1990)
      0000000233  1171099   8.7  The Matrix (1999)
      0000000123  221213   8.7  Shichinin no samurai (1954)
      0000000223  873651   8.6  Star Wars (1977)
      0000000232  514958   8.6  Cidade de Deus (2002)
      0000001232  982294   8.6  Se7en (1995)
      0000001232  848973   8.6  The Silence of the Lambs (1991)
      0000001123  265848   8.6  It's a Wonderful Life (1946)
      0000000232  713501   8.6  The Usual Suspects (1995)
      0000000233  400564   8.6  La vita è bella (1997)
      0000001232  696519   8.6  Léon (1994)
      0000001223  208236   8.5  C'era una volta il West (1968)
      0000000223  397219   8.5  Sen to Chihiro no kamikakushi (2001)
      0000001232  845203   8.5  Saving Private Ryan (1998)
      0000000123  862010   8.5  Interstellar (2014)
      0000001223  375116   8.5  Casablanca (1942)
      0000001232  755037   8.5  American History X (1998)
      0000000223  102921   8.5  City Lights (1931)
      0000001222  405315   8.5  Psycho (1960)
      0000001222  636824   8.5  Raiders of the Lost Ark (1981)
      0000001222  304132   8.5  Rear Window (1954)
      0000000232  476425   8.5  Intouchables (2011)
      0000001222  135868   8.5  Modern Times (1936)
      0000001232  747709   8.5  The Green Mile (1999)
      0000001222  716950   8.5  Terminator 2: Judgment Day (1991)
      0000001232  476884   8.5  The Pianist (2002)
      0000001232  838678   8.5  The Departed (2006)
      0000001222  699438   8.5  Back to the Future (1985)
      0000001232  361913   8.5  Whiplash (2014)
      0000001232  815393   8.5  Memento (2000)
      0000001222  944441   8.5  Gladiator (2000)
      0000001222  435779   8.5  Apocalypse Now (1979)
      0000001232  807355   8.5  The Prestige (2006)
      0000001223  331110   8.5  Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
      0000001222  134365   8.4  Sunset Blvd. (1950)
      0000001223  612999   8.4  The Lion King (1994)
      0000001222  541609   8.4  Alien (1979)
      0000001222  130908   8.4  The Great Dictator (1940)
      0000001232  249916   8.4  Das Leben der Anderen (2006)
      0000001223  145538   8.4  Nuovo Cinema Paradiso (1988)
      0000001232  908419   8.4  Django Unchained (2012)
      0000001222  584482   8.4  The Shining (1980)
      0000001222  115895   8.4  Paths of Glory (1957)
      0000001223  130555   8.4  Hotaru no haka (1988)
      0000001223  1091382   8.4  The Dark Knight Rises (2012)
      0000001222  685437   8.4  WALL·E (2008)
      0000001222  794126   8.4  American Beauty (1999)
      0000001222  471198   8.4  Aliens (1986)
      0000001222  211527   8.4  Mononoke-hime (1997)
      0000001222  341048   8.4  Oldeuboi (2003)
      0000001223  288291   8.4  Citizen Kane (1941)
      0000001222  213198   8.4  North by Northwest (1959)
      0000001222  212617   8.4  Once Upon a Time in America (1984)
      0000001222  238213   8.4  Vertigo (1958)
